City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
230,kizhinga,51.8462,109.9097,-6.84,95,100,1.01,RU,1704580023
231,tanjung pandan,-2.75,107.65,78.08,87,100,1.28,ID,1704579792
232,kingston,17.997,-76.7936,85.15,68,40,18.41,JM,1704579793
233,east london,-33.0153,27.9116,68.18,84,91,9.53,ZA,1704580024
234,canutama,-6.5339,-64.3831,83.16,75,72,1.9,BR,1704580024
235,port lincoln,-34.7333,135.8667,66.29,92,87,8.32,AU,1704580024
236,lata,40.1629,-8.3327,42.08,87,100,2.04,PT,1704580025
237,coquimbo,-29.9533,-71.3436,67.73,68,20,13.8,CL,1704580025
238,mount pearl,47.5166,-52.7813,14.14,77,75,36.82,CA,1704580025
239,ylivieska,64.0833,24.55,-5.69,98,39,3.62,FI,1704580026
240,sao joao da barra,-21.6403,-41.0511,78.89,86,99,8.63,BR,1704580026
241,uturoa,-16.7333,-151.4333,79.57,82,100,16.69,PF,1704580026
242,matoury,4.8483,-52.3317,80.56,78,40,4.61,GF,1704580027
243,betio village,1.358,172.9211,86.04,76,97,9.98,KI,1704580027
244,jiayuguan,39.8167,98.3,22.08,34,3,1.41,CN,1704580027
245,vorgashor,67.5833,63.95,-1.43,98,100,12.46,RU,1704580028
246,sydney,-33.8679,151.2073,76.95,66,75,13.8,AU,1704579903
247,hamilton,39.1834,-84.5333,38.77,93,100,8.05,US,1704579867
248,walvis bay,-22.9575,14.5053,65.35,82,6,3.44,NA,1704580029
249,hilo,19.7297,-155.09,78.24,92,75,8.05,US,1704579972
250,vorkuta,67.5,64.0,-2.38,98,100,12.91,RU,1704580030
251,lagos,6.5833,3.75,82.72,87,53,3.87,NG,1704579765
252,jand,33.4299,72.0193,50.56,41,0,1.07,PK,1704580030
253,sinjai,-5.1241,120.253,76.51,94,100,3.94,ID,1704580031
254,west bay,19.3667,-81.4167,84.27,80,20,10.36,KY,1704580031
255,dazhou,31.2159,107.5009,53.15,81,100,4.16,CN,1704580031
256,vanimo,-2.6741,141.3028,78.31,89,100,2.46,PG,1704580032
257,callaway,30.153,-85.5699,62.65,79,86,5.01,US,1704580032
258,tangshan,39.6333,118.1833,15.87,63,0,2.93,CN,1704580032
259,venice,27.0998,-82.4543,73.15,94,0,6.91,US,1704579963
260,yarmouth,41.7057,-70.2286,37.02,79,0,4.61,US,1704579942
261,sotnikovskoye,45.0039,43.7772,38.39,74,93,3.47,RU,1704580033
262,rio gallegos,-51.6226,-69.2181,66.25,27,20,19.57,AR,1704580034
263,lib,8.3122,167.3766,80.89,73,84,20.78,MH,1704580034
264,saint-joseph,-21.3667,55.6167,77.38,87,81,10.31,RE,1704580034
265,pahrump,36.2083,-115.9839,50.25,24,85,8.01,US,1704579755
266,papao,-17.75,-149.55,85.68,78,100,2.46,PF,1704580035
267,bassila,9.0081,1.6654,81.91,20,26,3.31,BJ,1704580035
268,hermanus,-34.4187,19.2345,64.44,89,100,7.29,ZA,1704580036
269,skovorodino,53.9833,123.9167,-27.27,97,15,0.89,RU,1704580036
270,castillos,-34.1667,-53.8333,74.17,80,82,12.21,UY,1704580036
271,qamdo,31.1667,97.2333,15.82,48,95,2.24,CN,1704580037
272,san patricio,28.017,-97.5169,70.92,36,55,4.14,US,1704580037
273,merizo village,13.2658,144.6691,82.98,85,98,16.46,GU,1704580038
274,alofi,-19.0595,-169.9187,87.69,66,32,11.5,NU,1704580038
275,sheridan,44.8333,-106.9173,38.01,42,0,9.22,US,1704580038
276,chonchi,-42.6128,-73.8092,62.11,62,72,1.5,CL,1704580039
277,majene,-3.5403,118.9707,76.37,91,100,3.44,ID,1704580039
278,cabedelo,-6.9811,-34.8339,83.07,73,1,9.91,BR,1704580040
279,kruisfontein,-34.0033,24.7314,62.89,85,4,5.01,ZA,1704580040
280,stanley,54.868,-1.6985,36.99,94,40,5.75,GB,1704579933
281,lebyazh'ye,55.2689,66.4947,-9.15,99,42,6.58,RU,1704580041
282,petrovsk-zabaykal'skiy,51.273,108.843,-1.91,95,100,2.57,RU,1704580041
283,khonsa,27.0167,95.5667,49.5,73,4,3.69,IN,1704580041
284,karlskoga,59.3267,14.5239,4.32,94,12,2.68,SE,1704580042
285,tyukhtet,56.5389,89.3011,11.55,92,100,9.6,RU,1704580042
286,fortuna,40.5982,-124.1573,51.66,78,20,16.11,US,1704580042
287,astara,38.5,48.6667,35.58,61,3,7.4,AZ,1704580043
288,alice springs,-23.7,133.8833,83.21,60,78,0.0,AU,1704580043
289,vila franca do campo,37.7167,-25.4333,64.89,99,100,12.19,PT,1704580043
290,kantagi,43.5264,68.5775,45.03,60,100,7.11,KZ,1704580044
291,joypur hat,25.0943,89.0217,61.68,48,23,4.5,BD,1704580044
292,ust'-ilimsk,58.0006,102.6619,17.44,94,100,11.01,RU,1704580044
293,lagoa,39.05,-27.9833,62.31,81,100,24.05,PT,1704580045
294,alice,27.7523,-98.0697,73.29,30,0,4.61,US,1704580045
295,melfort,52.8667,-104.6177,5.13,85,79,8.05,CA,1704580046
296,la sarre,48.8002,-79.1996,10.26,78,100,8.37,CA,1704579928
297,okhotsk,59.3833,143.3,-23.04,82,1,12.12,RU,1704580046
298,macapa,0.0389,-51.0664,73.8,96,100,10.54,BR,1704580047
299,praia da vitoria,38.7333,-27.0667,63.75,82,40,23.15,PT,1704580047
300,murun-kuren,49.6342,100.1625,3.06,85,93,2.84,MN,1704580048
301,buulobarde,3.8538,45.5674,73.47,68,0,15.41,SO,1704580048
302,hadibu,12.65,54.0333,74.01,65,12,11.32,YE,1704580049
303,ardakan,32.31,54.0175,46.44,49,0,9.04,IR,1704580049
304,san felipe,10.3399,-68.7425,76.6,80,31,8.05,VE,1704580049
305,sola,-13.8833,167.55,81.77,74,92,2.77,VU,1704580050
306,lubuklinggau,-3.3,102.8667,72.57,95,100,1.74,ID,1704580050
307,legnago,45.1832,11.3091,47.37,97,100,4.0,IT,1704579969
308,fale old settlement,-9.3852,-171.2468,83.68,69,100,5.26,TK,1704580051
309,manta,-0.95,-80.7333,82.18,74,40,14.0,EC,1704580051
310,liwale,-9.7667,37.9333,70.38,97,100,2.66,TZ,1704580051
311,luena,-11.7833,19.9167,68.18,94,100,3.44,AO,1704580052
312,hefei,31.8639,117.2808,32.02,80,2,4.47,CN,1704580052
313,guane,22.2025,-84.0875,81.45,73,16,10.67,CU,1704580052
314,klyuchi,52.2667,79.1667,18.0,97,100,2.98,RU,1704579926
315,sisimiut,66.9395,-53.6735,13.1,81,100,6.64,GL,1704580053
316,limon,10.0,-83.0333,82.29,74,0,8.05,CR,1704580053
317,tra mhor,52.1624,-7.1524,37.09,92,10,5.01,IE,1704580054
318,asekeyevo,53.5742,52.7972,1.85,98,100,4.27,RU,1704580054
319,fada,9.5667,8.3,70.32,20,23,5.53,NG,1704580055
320,genoa,44.4129,8.9573,51.48,81,75,9.22,IT,1704580055
321,noosa heads,-26.3833,153.15,79.11,72,84,16.82,AU,1704579783
322,lillehammer,61.1146,10.4674,4.68,92,5,4.32,NO,1704580056
323,beledweyne,4.7358,45.2036,73.76,60,5,17.29,SO,1704580056
324,mount gambier,-37.8333,140.7667,68.97,90,100,3.2,AU,1704580056
325,hit,33.6416,42.8251,53.24,44,0,9.44,IQ,1704580057
326,kargasok,59.0556,80.8572,-17.03,99,9,5.01,RU,1704579922
327,igarka,67.4667,86.5833,-12.08,99,100,9.19,RU,1704580057
328,ta`u,-14.2336,-169.5144,82.4,79,48,10.63,AS,1704580058
329,egilsstadir,65.2653,-14.3948,12.11,92,0,4.61,IS,1704580058
330,moroni,-11.7022,43.2551,80.65,84,100,7.58,KM,1704580058
331,terrace,54.5163,-128.6035,37.22,93,75,5.75,CA,1704580059
332,al hufuf,25.3646,49.5653,55.74,62,0,5.75,SA,1704580059
333,lerwick,60.1545,-1.1494,44.6,87,49,18.14,GB,1704580059
334,gualaceo,-2.9,-78.7833,71.26,92,89,4.21,EC,1704580060
335,dudinka,69.4058,86.1778,-7.33,98,100,18.01,RU,1704579928
336,beyneu,45.3167,55.2,34.9,96,48,13.27,KZ,1704580060
337,kissidougou,9.1848,-10.0999,76.86,22,93,2.77,GN,1704580061
338,alo,7.4178,6.7371,81.84,21,10,1.95,NG,1704580061
339,kununurra,-15.7667,128.7333,82.38,89,100,3.44,AU,1704580061
340,nantucket,41.2835,-70.0995,37.02,69,0,5.75,US,1704580062
341,napasar,27.9667,73.55,49.8,46,0,6.6,IN,1704580062
342,knyaze-volkonskoye,48.4642,135.4567,-2.0,98,99,1.01,RU,1704580063
343,masasi,-10.7167,38.8,71.24,97,100,2.44,TZ,1704580063
344,hollabrunn,48.55,16.0833,40.1,96,100,1.99,AT,1704580063
345,utete,-7.986,38.758,74.44,98,99,1.52,TZ,1704580063
346,maloye ganyushkino,46.6,49.2667,31.24,81,36,10.71,KZ,1704580064
347,kostomuksha,64.571,30.5767,-6.97,96,53,5.99,RU,1704580064
348,klaksvik,62.2266,-6.589,36.52,68,75,14.72,FO,1704580064
349,cheat lake,39.672,-79.8534,41.34,89,100,4.61,US,1704580065
350,ketchikan,55.3422,-131.6461,39.18,81,40,6.91,US,1704580065
351,constantia,44.1833,28.65,47.08,87,74,13.22,RO,1704580065
352,zaysan,47.4667,84.8667,21.16,96,98,1.5,KZ,1704580065
353,labytnangi,66.6572,66.4183,-6.83,92,76,6.53,RU,1704580066
354,nadi,-17.8,177.4167,86.0,66,75,6.91,FJ,1704580066
355,crane,31.3974,-102.3501,53.37,26,16,19.08,US,1704580066
356,redencao,-4.2258,-38.7306,78.62,80,43,4.72,BR,1704580066
357,sao vicente,-23.9631,-46.3919,79.27,49,32,8.01,BR,1704580067
358,datong,40.0936,113.2914,1.17,92,5,0.81,CN,1704580067
359,mil'kovo,55.6078,37.7956,0.43,97,87,6.82,RU,1704580067
360,kudahuvadhoo,2.6708,72.8944,82.9,75,99,10.96,MV,1704580067
361,katsuura,35.1333,140.3,52.65,52,16,9.95,JP,1704580068
